role,company,location,date_posted,min_experience,employment_type,category,remote,details,tags,ad_link
Υπάλληλος Μισθοδοσίας,ΤΣΑΚΙΡΗΣ ΜΑΛΛΑΣ ΑΕ,Αθήνα,πριν 5 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Λογιστικά,,"['Κύρια καθήκοντα :', 'Κύρια καθήκοντα :', 'Υπολογισμός μισθοδοσίας', 'Χρήση Εργάνη', 'Γνώση εργατικής και ασφαλιστικής νομοθεσίας', 'Διεκπεραίωση διαδικασιών που αφορούν το προσωπικό (προσλήψεις, αποχωρήσεις, ασθένειες, αλλαγές ωραρίων, άδειες κλπ)', 'Τήρηση φυσικού αρχείου', 'Έκδοση λογιστικών  άρθρων, μισθολογικών καταστάσεων, ΑΠΔ, ΦΜΥ', 'Υποστηρικτικές εργασίες λογιστηρίου', 'Απαραίτητα προσόντα:', 'Απαραίτητα προσόντα:', 'Πτυχίο ΑΕΙ/ΤΕΙ/ΙΕΚ Οικονομικής ή Λογιστικής κατεύθυνσης', 'Προϋπηρεσία σε αντίστοιχη θέση', 'Γνώση λογιστικών προγραμμάτων όπως Entersoft, και Pylon μισθοδοσία της Epsilon Net', 'Γνώση χρήσης Η/Υ και των προγραμμάτων του Microsoft Office (Word, Excel)', 'Καλή γνώση αγγλικών', 'Ικανότητα τήρησης χρονοδιαγραμμάτων', 'Ομαδικό πνεύμα', 'Παροχές:', 'Παροχές:', 'Μόνιμη και πλήρης απασχόληση', 'Προοπτικές εξέλιξης σε εναν αναπτυσσόμενο όμιλο', 'Άριστο, δυναμικό και ευχάριστο περιβάλλον εργασίας', 'Συνεχής εκπαίδευση']","['accountant', '#payroll', 'διαχειριση μισθοδοσίας, payroll, προσλήψεις, αποχωρήσεις, εργατική και ασφαλιστική νομοθεσία', 'εργανη', 'my data', 'μισθοδοσία', 'προγραμματα εργασιας', 'ψηφιακή καρτα εργασιας', 'εργασίες λογιστηρίου', 'απδ', 'φμυ', 'υπολογισμός μισθοδοσίας, εργάνη, εργατική νομοθεσία, πρόσληψη και απόλυση, λογιστήριο, entersoft, pylon μισθοδοσία', 'payroll calculation, hr processes, hiring and termination, accounting support, full time, αργυρούπολη, γλυφάδα, καλλιθέα, ηλιούπολη, άλιμος, βύρωνας, οικονομικά, χρηματοοικονομικά, λογιστής']",https://www.kariera.gr/en/jobs/accounting-or-auditing-jobs/225668
CVM Analyst,Volton Ελληνική Ενεργειακή Α.Ε.,Μεταμόρφωση,πριν 8 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Μάρκετινγκ / Διαφήμιση,Εργασία από απόσταση κάποιες ημέρες,"['Volton Hellenic Energy SA is a Greek company that is dynamically active and is rapidly increasing its capacity in the field of Electricity Supply and Trading, in the Gas Energy Sector and in the field of Telecommunications (through Orizon).', 'Volton', ""By offering reliable services that meet the ever-growing energy needs of businesses and households, Volton aims to build solid and trustful relationships with its customers. The company's ambition is to become one of the most important companies in the industry and remain at the forefront of developments as the first multiservice provider combining Electricity, Natural Gas and Telecommunications."", ', Volton', 'As part of its development Volton strengthens its human resources in Athens and seeks a CVM Analyst for our Energy and Telecoms Sector.', 'Volton', 'Athens', 'CVM Analyst for our Energy and Telecoms Sector', 'Responsibilities', 'Deep understanding of customer’s needs in order to develop successful propositions', 'Design, implement, and evaluate A/B testing initiatives across a range of CVM campaigns and customer communication channels to maximize engagement & ROI', 'Monitor, analyze and make recommendations on CVM initiatives', 'Monitor key metrics related to churn rate, customer retention, and lifetime value to track the effectiveness of retention efforts. Analyze trends over time and iterate on strategies to continuously improve retention outcomes', 'Anticipate and mitigate potential risks that may contribute to churn, such as competitive threats, market shifts, or changes in customer needs', 'Build predictive models to forecast churn probability for individual customers or segments', 'Ensure data quality and consistency to make accurate and reliable analyses.', 'Identify key performance indicators (KPIs) and metrics relevant to the business objectives', 'Create visualizations and dashboards to communicate insights and findings to stakeholders', 'Translate complex analysis results into clear, concise, and actionable insights for non-technical stakeholders', 'Provide guidance to customer care teams, ensuring exceptional experience for our customers', 'Requirements', 'At least 3 years of experience in similar CVM roles or Data analysis positions', 'Previous experience in services marketing (energy, telcos etc.)  will be considered an asset', 'Bachelor’s degree in Statistics, Mathematics, Market research or other related field', 'Master’s degree in a relevant field will be considered an asset', 'Proficiency in data analysis tools and techniques such as SQL, Python, R, or statistical software', 'Excellent knowledge of Microsoft Office (excel, power point)', 'Personal Skills', 'Strong analytical skills and numerical understanding', 'Fluency in English, both oral and written', 'Excellent organizational skills and results-driven mentality', 'Excellent presentation and communication skills', 'Strong team spirit and collaboration', 'Benefits', 'A competitive fixed salary aligned with your experience and expectations', 'Hybrid working model', 'Private insurance, corporate benefits and perks', 'Continuous training and professional development', 'Excellent professional environment', 'Modern and productive working facilities', 'Don’t miss the chance to join a Great Place to Work-Certified Company that fosters a positive work environment, proudly recognized as a Best Workplace for Women 2025.', 'Great Place to Work-Certified Company', 'Best Workplace for Women 2025', 'All applications will be treated with confidentiality. If your CV meets the requirements of the job, we will contact you by phone to schedule an appointment. Information about the company on our site volton.gr', 'volton.gr']","['customer base management', 'cvm', 'customer value', 'customer retention', 'data analysis', 'customer engagement', 'churn management']",https://www.kariera.gr/en/jobs/marketing-or-advertising-jobs/224929
ΥΠΑΛΛΗΛΟΣ ΓΡΑΦΕΙΟΥ-LOGISTICS ΑΧΑΡΝΕΣ,BLA BLA TOYS,Αχαρνές,πριν ένα μήνα,Με κάποια εμπειρία,Πλήρης απασχόληση,Αποθήκη / Logistics,,"['Υπάλληλο Γραφείου', 'Logistics', 'Αχαρνές', 'Κύριες Αρμοδιότητες:', 'Απαραίτητα Προσόντα:', 'Πλεονεκτήματα Θέσης:', 'Εάν ενδιαφέρεστε να γίνετε μέλος μιας δυναμικής και αναπτυσσόμενης ομάδας, παρακαλούμε αποστείλετε το βιογραφικό σας σημείωμα!!']","['γραφείο', 'erp softone', 'back office', 'customer service', 'logistics ', 'data entry']",https://www.kariera.gr/en/jobs/logistics-or-warehouse-jobs/220685
German B2B (SaaS) Sales Representative (SMB) – Cloud-Lösungen (m/w/d) in Athen gesucht !,Kariera Group Recruitment Services | Multilingual Talent Solutions,Αθήνα,πριν 12 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Πωλήσεις / Διαχείριση Πελατών,,"['German B2B SaaS Sales Representative (SMB) – Cloud-Lösungen (m/w/d) in Athen gesucht !', 'German B2B SaaS Sales Representative (SMB) – Cloud-Lösungen (m/w/d) in Athen gesucht !', 'Unser Klient ist ein weltweit führendes Technologieunternehmen, das sich auf die Entwicklung und Bereitstellung von Cloud-Diensten spezialisiert hat. Die innovativen Produkte und Services unseres Klienten unterstützen Unternehmen dabei, ihre Geschäftsprozesse zu optimieren, Daten effizient zu verwalten und modernste Technologien wie künstliche Intelligenz und maschinelles Lernen zu nutzen.', 'Ihre Aufgaben:', 'Ihre Aufgaben:', 'Als B2B Sales Representative (SMB) sind Sie für folgende Tätigkeiten verantwortlich:', 'B2B Sales Representative (SMB)', 'Lead-Generierung und Kundenbindung: Aufbau und Pflege einer Pipeline potenzieller und bestehender Geschäftskunden (Small and Medium Businesses, SMBs).', 'Lead-Generierung und Kundenbindung:', 'Beratung und Produktpräsentation: Analyse der Geschäftsbedürfnisse von Kunden und Vorstellung passender Lösungen aus dem Cloud-Portfolio unseres Klienten.', 'Beratung und Produktpräsentation:', 'Verkauf und Upselling: Förderung von Upgrades und Erweiterungen, die die Effizienz und den Erfolg der Kunden steigern.', 'Verkauf und Upselling:', 'Kommunikation: Kundenkontakt per E-Mail und Telefon (Outbound), um Partnerschaften aufzubauen und langfristig zu stärken.', 'Kommunikation:', 'Wissenstransfer: Schulung der Kunden zu Cloud-Produkten wie virtuellen Maschinen, Datenbanken, Speicherlösungen und Machine-Learning-Werkzeugen.', 'Wissenstransfer:', 'Ihr Profil:', 'Ihr Profil:', 'Sprachkenntnisse: Muttersprachliche Deutschkenntnisse sowie sehr gute Englischkenntnisse in Wort und Schrift.', 'Sprachkenntnisse:', 'Erfahrung: Nachgewiesene Erfahrung im B2B-Vertrieb, idealerweise im Bereich Technologie oder SaaS.', 'Erfahrung:', 'Technisches Verständnis: Grundkenntnisse zu Cloud-Diensten und -Technologien sowie Interesse, diese weiter zu vertiefen.', 'Technisches Verständnis:', 'Kommunikationsstärke: Hervorragende schriftliche und mündliche Kommunikationsfähigkeiten auf Deutsch und Englisch.', 'Kommunikationsstärke:', 'Ergebnisorientierung: Eigenständige, zielgerichtete Arbeitsweise mit einem starken Fokus auf Kundenzufriedenheit und Vertriebsziele.', 'Ergebnisorientierung:', 'Analytisches Denken: Fähigkeit, Geschäftsbedarfe zu analysieren und maßgeschneiderte Lösungen vorzuschlagen.', 'Analytisches Denken:', 'Was unser Klient bietet:', 'Was unser Klient bietet:', 'Zugang zu modernsten Technologien und Werkzeugen, um Ihre Arbeit effizient und innovativ zu gestalten.', 'Umfassende Weiterbildungsangebote und Entwicklungsmöglichkeiten.', 'Attraktive Vergütung, flexible Arbeitsmodelle und eine inklusiv geprägte Unternehmenskultur.', 'Jetzt bewerben!', 'Jetzt bewerben!', 'Werden Sie Teil des Teams unseres Klienten und unterstützen Sie Unternehmen dabei, ihre digitale Transformation erfolgreich zu gestalten. Wir freuen uns auf Ihre Bewerbung!', 'Lebenslauf (CV) per mail an: konstantinos.laskaridis@karieragroup.com', 'Lebenslauf (CV) direkt hier (Apply now button)', 'oder vorab telefonisch unter: +30 210 811 5364', '#kariera_group_recruitment', 'Unser Klient fördert Vielfalt und Chancengleichheit.', 'Unser Klient fördert Vielfalt und Chancengleichheit.']","['german', 'deutsch', 'germanika', 'γερμανικά', 'athen', 'athens', 'piraeus', 'b2b sales representative', 'b2b', 'sales', 'smb sales', 'cloud-vertrieb', 'cloud-lösungen', 'technologievertrieb', 'technologie', 'saas', 'vertriebstechnologie', 'kundenbindung', 'lead-generierung', 'lead', 'business development', 'vertrieb b2b', 'up-selling', 'kundenberatung', 'kundenakquise', 'account management', 'vertriebsspezialist', 'vertrieb', 'google', 'cloud', 'cloud computing', 'big data', 'künstliche intelligenz', 'ki', 'ai', 'microsoft azure', 'amazon web services (aws', 'sales funnel', 'it-lösungen', 'softwarelösungen', 'software', 'dash']",https://www.kariera.gr/en/jobs/sales-or-business-development-or-account-management-jobs/223769?origin=pjp
Τechnical Μanager Αssistant,Ελληνική Βιομηχανία Αλουμινίου ΑΕ (ELVIAL S.A),Γαλλικός,πριν ένα μήνα,Με κάποια εμπειρία,Πλήρης απασχόληση,Μηχανικοί,,"['H ELVIAL είναι μία ελληνική εταιρία η οποία δραστηριοποιείται στην αγορά διέλασης αλουμινίου για περισσότερα από 30 χρόνια. Με Διεθνή παρουσία σε περισσότερες από 30 χώρες και εξαγωγική δραστηριότητα που φτάνει το 75% η ELVIAL αποτελεί στρατηγικό συνεργάτη πολλών καταξιωμένων επιχειρήσεων αλουμινίου στην Ελλάδα και στην Ευρώπη προσφέροντας λύσεις υψηλών απαιτήσεων τόσο στα αρχιτεκτονικά συστήματα αλουμινίου όσο και στα βιομηχανικά προφίλ.', 'ELVIAL', 'Την τρέχουσα περίοδο, η εταιρία μας επιθυμεί να στελεχώσει τη θέση: Τechnical Μanager Αssistant.', 'Τechnical Μanager Αssistant.', 'Βασικά Καθήκοντα:', 'Βασικά Καθήκοντα:', 'Λειτουργία αποθήκης ανταλλακτικών', 'Τήρηση αποθεμάτων - Παραγγελία – Παραλαβές – Χορηγήσεις ανταλλακτικών', 'Data analysis βλαβών – διακοπών κέντρων – σύνταξη αναφορών.', 'Σύνταξη προγραμμάτων εργασίας και εργασιών', 'Προφίλ Υποψηφίου / ας:', 'Προφίλ Υποψηφίου / ας:', 'Μηχανολόγος ΤΕ ή Ηλεκτρολόγος ΤΕ ή Μηχανικός Παραγωγής και Διοίκησης ΤΕ', 'Καλή γνώση Αγγλικών', 'Καλή γνώση MSOffice', 'Βασική γνώση Autocad 2D', 'Επαγγελματισμός, συνέπεια & δέσμευση για το αποτέλεσμα', 'Ομαδικό πνεύμα & επικοινωνιακές δεξιότητες', 'Εκπληρωμένες στρατιωτικές υποχρεώσεις (για τους άνδρες υποψήφιους)', 'Η εταιρεία προσφέρει:', 'Η εταιρεία προσφέρει:', 'Ιδιωτική ασφάλιση υγείας', 'Μεταφορά προσωπικού με λεωφορεία από Θεσσαλονίκη & Κιλκίς.', 'Διατακτικές σίτισης Χριστούγεννα και Πάσχα', 'Εκπαιδευτικά σεμινάρια', 'Προνομιακά δίδακτρα σπουδών για τους εργαζόμενους και για τους α’ βαθμού συγγενείς των εργαζομένων σε συνεργασία με το Mediterranean College.', 'Εξέλιξη σε ένα σύγχρονο και σταθερό περιβάλλον εργασίας με σεβασμό στον άνθρωπο']","['data analysis', 'προμηθειες', 'autocad 2d', 'μηχανολόγος αει ατει', 'ηλεκτρολόγος μηχανικος']",https://www.kariera.gr/en/jobs/engineering-jobs/220702
Junior Risk Engineer,Eurolife FFH Insurance Group,Αθήνα,πριν 14 μέρες,Entry / Αρχάριος,Πλήρης απασχόληση,Κατασκευές / Μηχανικοί / Αρχιτέκτονες,Εργασία από απόσταση κάποιες ημέρες,"['We are looking for a dynamic and self-driven Junior Risk Engineer to join our growing team. From this role, you will be responsible to provide support to the underwriting team by evaluating new and existing risks.', 'Junior Risk Engineer', 'Role responsibilities', 'Role responsibilities', 'Review and analyse technical data – Desk risk analysis and evaluation', 'Contact risk surveys on site, providing risk engineering, technical consultation, and proposing loss prevention and control-oriented improvements', 'Cooperate with relevant parties to provide advisory service and assisting the whole process of new and existing businesses', 'Ensure delivery of advisory services in compliance with regulations and internal procedures', 'Support and contribute to Underwriting team projects', 'Support the culture of the business; identify and demonstrate the behaviours and actions that encourage the company’s values', 'Knowledge, Skills & Experience', 'Knowledge, Skills & Experience', 'BSc in Engineering (Mechanical, Chemical)', '1 - 2 years of proven industry experience within energy, engineering and/or industrial sectors.', 'Strong and communication skills (both verbal and written)', 'Effective analytical skills', 'Attention to detail', 'Ability to operate effectively under pressure', 'Results orientated', 'Motivation for continuous improvement and development', 'Excellent command of the English Language', 'Proficient in the use of MS Office (Excel, Word, PowerPoint and Outlook)', 'What we offer', 'What we offer', 'In Eurolife FFH we believe in the power of people becoming the best version of themselves. We want our employees to feel valued, heard, respected and included in an environment where they are having fun, they find meaning in work and deep sense of purpose.', 'As a member of our team:', 'You will have the opportunity to work in a leading multinational insurance company with prominent positioning in the local market', 'You will be working in an environment based on fairness, transparency and recognition', 'A competitive compensation package relevant to qualifications', 'You will develop abilities and skills that will help your personal and professional growth', 'Take advantage of Learning and Development opportunities that will develop a deeper insight and stronger capabilities']","['eurolife', 'engineer', 'risk', 'junior risk engineer', 'technical', 'technical data', 'underwriting']",https://www.kariera.gr/en/jobs/construction-or-engineers-or-architects-jobs/223221
Retail Client Service Operations Specialist,Circana,Αθήνα,πριν 22 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Πληροφορική,,"['Based in Athens, Greece this person will be responsible and/or contribute to quality control, issue support, change event management, and other specialized delivery processes in support of Retail clients. This person will work individually and in concert with United States Client Service employees and Capgemini employees in Bogota to deliver on-time and quality deliverables.', 'The primary responsibility of this position is to manage the Ticketing System for one of Circana’s largest retail clients. Tickets are created by vendors that subscribe to our models/databases, as well as internal partners.\nQuestions reside in the areas of Access, Item Placement, Reporting, Data Integrity, and Other (training, adhoc, etc.)', 'Questions reside in the areas of Access, Item Placement, Reporting, Data Integrity, and Other (training, adhoc, etc.)', 'Resolve data and reporting questions submitted by vendors and internal partners.', 'Proactively communicate issues or concerns. Chosen candidates must be able to expertly communicate written English.', 'Chosen candidates must be able to expertly communicate written English.', 'Develop trusted relationships with Retail Client Service teams and supporting organizations such as modeling, issue support, and technology operations and other support groups to ensure ultimate resolution and closure of issues and change events.', 'Be responsible and own Retail processes, quality control, and timeliness of Retail deliverables.', 'Attend and contribute to the daily management system which is a continuous process improvement initiative to achieve operational excellence.', 'Solve issues, problems, or discuss processes and opportunities either independently or amongst a team/group setting.', '1-3 years of experience in the retailer and/or consumer data field', 'Bachelor’s degree required', 'Strong capabilities to work daily in English (spoken and written)', 'Proficiency in Excel (pivot tables, v-look up and basic calculations). Advanced Excel skills strongly preferred', 'Ability to resolve data integrity issues using basic mathematical components of addition, subtraction, multiplication, and division.', 'Ability to partner with internal teams, monitor workflow, and assure follow-through. Ability to partner cross functionally is critical as the account team is rather large.', 'Strong organizational skills, with the ability to manage multiple projects simultaneously and to coordinate multi-disciplinary teams', 'At Circana, we are fueled by our passion for continuous learning and growth, we seek and share feedback freely, and we celebrate victories both big and small in an environment that is flexible and accommodating to our work and personal lives. We have a global commitment to diversity, equity, and inclusion as we believe in the undeniable strength that diversity brings to our business, employees, clients, and communities. With us, you can always bring your full self to work. Join our inclusive, committed team to be a challenger, own outcomes, and stay curious together. Circana is proud to be Certified™ by Great Place To Work®. This prestigious award is based entirely on what current employees say about their experience working at Circana.']","['data analysis', 'business', 'data sciences', 'retailer', 'client service']",https://www.kariera.gr/en/jobs/it-jobs/221541
Accountant,Aambience Services,Άγιος Ιωάννης Ρέντης,πριν ένα μήνα,Με κάποια εμπειρία,Πλήρης απασχόληση,Λογιστικά,,"['About Aambience Services', 'About Aambience Services', 'Aambience Services is an innovative company, providing Business Process Outsourcing, IT and Robotic Process Automation (RPA) Services. What makes us different, is our strong desire to challenge the status quo, inspire and create ground-breaking solutions. We build relationships of trust with our clients, on solid foundations of quality and know-how, while creating great experiences, through great customer service.', 'Our team consists of experienced professionals with a passion for their work. They are the cornerstone of our company’s dynamic culture and stand as strong and reliable partners towards our customers’ concerns and needs. Therefore, we have built a diverse environment that maximizes employee engagement and performance, based on our key value to invest on and develop our people and teams.', 'The Role', 'The Role', ""We are looking for a self-motivated and detail-oriented Accountant to join our dynamic team in Athens. In this role, you will support the finance department by completing various accounting tasks, including maintaining financial records and preparing reports. You will also work closely with other departments to ensure that financial activities align with the company's goals and objectives."", 'Accountant', 'Responsibilities', 'Responsibilities', 'Assist the finance department in managing day-to-day accounting transactions, including accounts payable and accounts receivable', 'Manage the daily operations of the accounting department and the general accounting functions', 'Monitor daily cash balances, prepare cash flow projections, and assist in preparing bank reconciliations', 'Perform general ledger account reconciliations and ensure the accuracy of accounting records', 'Assist in month-end and year-end closing procedures, including preparing journal entries and financial statements', 'Support the finance team in developing and implementing accounting policies and procedures', 'Participate in the preparation & timely submission of monthly, quarterly, and annual tax declarations', 'Assist with tax audits and tax returns', 'Prepare ad-hoc reports and analysis as needed to support business decisions', 'Prepare other ad hoc analysis/reports as per management requirements', 'Requirements', 'BSc in Accounting, Finance, Economics', 'Proven experience (at least 5 years) in an accounting role, with a focus on general ledger accounting', 'Experience in ERP Systems (Knowledge of Entersoft will be highly appreciated)', 'Proficient in MS Office, particularly in Excel', 'Highly detail-oriented and organized, with strong analytical and problem-solving skills', 'Excellent communication and interpersonal skills', 'Ability to work independently and manage multiple priorities in a fast-paced environment', 'Benefits', 'Competitive remuneration package', 'Private medical insurance', 'Continuous training and development of your skills', 'A place where your professional and personal success is our commitment']","['accounting', 'λογιστική', 'vat', 'my data', 'financial controller', 'finance manager', 'accounting assistant']",https://www.kariera.gr/en/jobs/accounting-or-auditing-jobs/220194
Accounting Administrator,Orizon Global,Αθήνα,πριν 15 ώρες,Entry / Αρχάριος,Πλήρης απασχόληση,Λογιστικά,,"['Welcome to Orizon Global', 'Welcome to Orizon Global', 'Orizon Global is a group of companies, compromising of businesses providing 360-degree property management services, interior design consultancy, real estate brokerage, property rentals, and engage in the trade of collectible design, decoration, lighting and furniture. We stand as a dynamic project management team. We work as one organization to offer our clients a turnkey solution and an equal quality of service. The group is structured as a matrix that enables all our activities to utilize a centralized pool of specialized skills and know-how. Our primary focus on high-end residential, extends to the Greek islands and the Attica region.', 'Our Distinctive Culture:', 'Our Distinctive Culture:', 'Our team consists of young and ambitious professionals, each bringing a unique perspective from diverse international backgrounds. Committed to both personal and collective growth within our organization, we cultivate a culture of continuous improvement. This culture thrives on open communication, the exchange of prosperous feedback, and a foundation of mutual respect among our team members.', 'Role Description: Accounting Administrator', 'Role Description:', 'Location: Kolonaki, Athens (Full-time, On-site)', 'Location:', 'We are looking for a meticulous junior Accountant to join forces and assist us with our accounting processes with precision and integrity. Based in Kolonaki, Athens, this full-time role is ideal for a detail-oriented professional with a passion for problem-solving and bookkeeping. This is an exciting opportunity to contribute to the stability and growth of a fast-evolving commercial business.', 'Key Responsibilities:', 'Key Responsibilities:', 'Monthly Bookkeeping: collecting, entering and archiving supplier invoices/bills', 'Utility Bills Management of our properties', 'Insurance Contracts deadlines monitoring of our properties and businesses', 'Customers & Suppliers: monitoring and updating balances', 'Treasury: executing and recording payments, ensuring collection of all the payment-related invoices/receipts', 'Banking: collecting bank statements and reconciling bank accounts', 'Payroll entries', 'End-of-month activities: assisting with various tasks and responsibilities', 'Qualifications:', 'Qualifications:', 'Bachelor’s degree in Accounting', 'Good Microsoft Excel & Word user & generally very comfortable with IT tools', 'Professional-level user of English language', 'Strong attention to detail, well organized', 'Meeting deadlines', 'Knowledge of using SoftOne would be considered a big plus', 'Why Join Us:', 'Why Join Us:', 'At Orizon Global, we value proactive individuals who contribute to a positive and thriving work environment. As our Accounting Administrator, you will play a crucial role in maintaining the smooth operation of our Finance department, while having the opportunity to engage in diverse tasks that contribute to the overall success of our projects. Additionally, by providing accurate data, you will play a fundamental role in our decision-making process. If you are a detail-oriented professional with excellent organizational and communication skills, we would be glad to have you on board!', 'Please reach out with sending your CV in ENGLISH', 'Please reach out']","['accounting', 'administration', 'accountant', 'junior accountant,', 'bookkeeping', 'data entry', 'financial', 'λογιστήριο', 'βοηθός λογιστή', 'λογιστής', 'λογιστής β', 'λογιστικά', 'αθήνα', 'κολωνάκι,kolonaki', 'administrator', 'english', 'αγγλικά', 'erp softone', 'softone', 'finance, οικονομικά', 'finance']",https://www.kariera.gr/en/jobs/accounting-or-auditing-jobs/226528
e-Comm Content Intern,PET CITY GROUP ΑΕΒΕ,Μεταμόρφωση,πριν 14 μέρες,Χωρίς προϋπηρεσία / Χωρίς εμπειρία,Πλήρης απασχόληση,Άλλη κατηγορία,,"[""We're looking for passionate, proactive individuals eager to learn and make an impact."", ""We're looking for passionate, proactive individuals eager to learn and make an impact."", 'Join our dynamic team in Pet City Group as an intern and gain hands-on experience, work on real projects, and grow your skills alongside professionals.', 'Join our dynamic team in Pet City Group as an intern and gain hands-on experience, work on real projects, and grow your skills alongside professionals.', '🐾Start your career journey with us! 🐾', '🐾Start your career journey with us! 🐾', 'Job Description:', 'Job Description:', 'The e-Comm Content Intern plays an important role in maintaining and updating product information in the eCommerce catalog. This position ensures that the product catalog is accurate, detailed, and organized in a way that enhances the user experience (UX) by providing well - structured categories, filters, and attributes. Working closely with the eCommerce Catalog Coordinator, this role supports catalog management and ensures optimal product visibility, searchability, and navigability.', 'Kindly note that this intership opportunity is exclusively available to students participating through the following programs:', 'Kindly note that this intership opportunity is exclusively available to students participating through the following programs:', '1) ΕΣΠΑ Program (University Students)', '1) ΕΣΠΑ Program (University Students)', '2) IEK Internship (IEK Students)', '2) IEK Internship (IEK Students)', '3) Deree Corporae Partner Internship (Deree Students)', '3) Deree Corporae Partner Internship (Deree Students)', 'Key Responsibilities', 'Key Responsibilities', 'Input and update product information including titles, descriptions, specifications, pricing, and images in our eCommerce platforms', 'Ensure consistency and accuracy in product details, following brands guidelines', 'Assist in organizing products into appropriate categories based on product attributes and UX considerations', 'Ensure all filters are correctly applied to products, to enhance the user’s browsing and shopping experience', 'Requirements:', 'Requirements:', 'Undergraduate or Graduate in the field of Marketing, Communication, Business Management/Administration or related fields', 'Eligible to join an internship program', 'Strong attention to detail and a commitment to maintaining high data accuracy', 'Basic understanding of UX principles, especially in relation to product browsing and searchability', 'Ability to work independently, follow instructions, and meet deadlines in a fast-paced environment', 'Good communication skills and a team-oriented mindset', 'Love for animals', 'What We Offer:', 'What We Offer:', '💶Travel expenses coverage', '🎓 Opportunities to learn and grow within a dynamic and fast-growing company', '🤝 Friendly and collaborative working environment', '💊 Special prices and discounts on healthcare, well-being, and insurance packages through our network of partners', '🏷️ Employee discounts on our products and services', '💼 Your professional and personal success is our commitment!']","['metamorfosi', 'student', 'internship', 'training', '#e-commerce', 'espa', 'iek', 'deree', 'data', 'data entry', 'praktiki', 'business management', 'graduate', 'product categories', 'marketing', 'sales marketing', '#athens', 'ux', 'back office', 'product', 'user experience']",https://www.kariera.gr/en/jobs/other-jobs/223338
Υπάλληλος back office (Γραμματειακή Υποστήριξη),-,Μαρούσι,πριν 15 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Γραμματειακή Υποστήριξη / Υπάλληλος Γραφείου,,"['Δικηγορική εταιρεία με έδρα στο Μαρούσι ζητά υπάλληλο για τη στελέχωση του τμήματος Διοικητικής και Γραμματειακής υποστήριξης (Back Office).', '(Back Office).', 'ΑΠΑΡΑΙΤΗΤΑ ΠΡΟΣΟΝΤΑ:', 'ΑΠΑΡΑΙΤΗΤΑ ΠΡΟΣΟΝΤΑ:', 'Απολυτήριο ΙΕΚ ή/και ΑΕΙ/ΤΕΙ', 'Άριστη γνώση Microsoft Office (Word, Excel, Outlook)', 'Εκπληρωμένες Στρατιωτικές Υποχρεώσεις (για τους άνδρες υποψηφίους)', 'ΕΠΙΘΥΜΗΤΑ ΠΡΟΣΟΝΤΑ:', 'ΕΠΙΘΥΜΗΤΑ ΠΡΟΣΟΝΤΑ:', 'Γνώση/εμπειρία χρήσης λογισμικού Alma Pro, Arotron ή αντίστοιχου ERP/CRM.', 'Εργασιακή εμπειρία τουλάχιστον 2 ετών σε θέση Back Office/ Γραμματεία.', 'Ο/Η ιδανικός/ή υποψήφιος/α  θα πρέπει να διαθέτει:', 'Ο/Η ιδανικός/ή υποψήφιος/α  θα πρέπει να διαθέτει:', 'Επαγγελματισμό', 'Υπευθυνότητα', 'Επικοινωνιακές δεξιότητες', 'Ικανότητες οργάνωσης, αποτελεσματικής διαχείρισης χρόνου και τήρησης deadlines', 'Προσφέρονται:', 'Προσφέρονται:', 'Σύγχρονο, δυναμικό και οργανωμένο περιβάλλον εργασίας', 'Ανταγωνιστικό πακέτο αποδοχών σύμφωνα με προσόντα', 'Πλήρης Ασφάλιση', 'Ευκαιρίες εκπαίδευσης & ανέλιξης', 'Αποστολή βιογραφικών στην ηλεκτρονική διεύθυνση:', 'Αποστολή βιογραφικών στην ηλεκτρονική διεύθυνση:', 'hr@takakis.com']","['data entry, back office']",https://www.kariera.gr/en/jobs/administrative-or-secretarial-jobs/222859
